Site,Start Date,Stop Date,Logger,SD Card,Listener,Sample Date,Sample Time,Sample Date Time,Species,NAAMP,File ID,Notes,Error
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W46,3/10/2014,3/14/2014,3,3A,GPS,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2217,3/10/2014 22:17,LICAP,1,20140310_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2217,3/10/2014 22:17,LISPH,3,20140310_221300,,N
W50,3/10/2014,3/14/2014,6,6A,DDK,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2217,3/10/2014 22:17,PSCRU,1,20140310_221300,,N
W51,3/10/2014,3/14/2014,5,5A,GPS,3/10/2014,2217,3/10/2014 22:17,PSNIG,3,20140310_221300,,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2217,3/10/2014 22:17,LISPH,1,20140310_221300,1:40-2:00= FAINT SHEEP LIKE NOISE? NOT GASTROPHRYNE.,N
W52,3/10/2014,3/14/2014,1,1A,GPS,3/10/2014,2217,3/10/2014 22:17,PSCRU,2,20140310_221300,1:40-2:00= FAINT SHEEP LIKE NOISE? NOT GASTROPHRYNE.,N
W26,3/10/2014,3/14/2014,7,7A,DK,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W32,3/10/2014,3/14/2014,8,8A,DK,3/10/2014,2017,3/10/2014 20:17,PSNIG,2,20140310_201300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2017,3/10/2014 20:17,HYGRA,1,20140310_201300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2017,3/10/2014 20:17,LISPH,1,20140310_201300,,N
W35,3/10/2014,3/14/2014,9,9A,GS,3/10/2014,2017,3/10/2014 20:17,PSNIG,3,20140310_201300,,N
