Site,Start Date,Stop Date,Logger,Listener,Sample Date,Sample Time,Species,NAAMP,File ID,Notes
W26,2/2/2015,2/6/2015,6,MCD,2/2/2015,1844,PSNIG,1,20150202_184400,
W32,2/2/2015,2/6/2015,4,RKH,2/2/2015,1844,NOCAP,1,20150202_184400,
W68,2/2/2015,2/6/2015,7,RKH,2/2/2015,1844,PSFER,2,20150202_184400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,1844,PSNIG,1,20150202_184400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,1844,PSFER,1,20150202_184400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,1844,PSCRU,3,20150202_184400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1844,PSORN,1,20150202_184400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1844,PSNIG,1,20150202_184400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1844,PSCRU,2,20150202_184400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1844,LISPH,3,20150202_184400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,1844,PSFER,2,20150202_184400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,1844,PSCRU,3,20150202_184400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,1844,PSNIG,3,20150202_184400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,1844,PSCRU,3,20150202_184400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,1844,LISPH,2,20150202_184400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,1844,PSNIG,3,20150202_184400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1844,PSORN,3,20150202_184400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1844,PSNIG,3,20150202_184400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1844,PSCRU,2,20150202_184400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1844,LISPH,3,20150202_184400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1844,LICAP,1,20150202_184400,
W35,2/2/2015,2/6/2015,1,JMH,2/2/2015,1844,NOCAP,1,20150202_184400,GUNSHOTS
W26,2/2/2015,2/6/2015,6,MCD,2/2/2015,1844,PSFER,2,20150202_184400,
W26,2/2/2015,2/6/2015,6,MCD,2/2/2015,1944,PSNIG,1,20150202_194400,
W26,2/2/2015,2/6/2015,6,MCD,2/2/2015,1944,PSFER,2,20150202_194400,
W68,2/2/2015,2/6/2015,7,RKH,2/2/2015,1944,PSFER,2,20150202_194400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,1944,PSNIG,1,20150202_194400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,1944,PSFER,1,20150202_194400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,1944,PSCRU,3,20150202_194400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1944,PSORN,1,20150202_194400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1944,PSCRU,2,20150202_194400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,1944,LISPH,3,20150202_194400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,1944,PSFER,2,20150202_194400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,1944,PSCRU,3,20150202_194400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,1944,PSNIG,3,20150202_194400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,1944,PSCRU,3,20150202_194400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,1944,LISPH,2,20150202_194400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,1944,PSNIG,3,20150202_194400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,1944,PSCRU,3,20150202_194400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,1944,LISPH,2,20150202_194400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1944,PSORN,1,20150202_194400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1944,PSNIG,3,20150202_194400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1944,PSCRU,1,20150202_194400,
W32,2/2/2015,2/6/2015,4,RKH,2/2/2015,1944,NOCAP,1,20150202_194400,
W35,2/2/2015,2/6/2015,1,JMH,2/2/2015,1944,NOCAP,1,20150202_194400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,1944,LISPH,3,20150202_194400,
W26,2/2/2015,2/6/2015,6,MCD,2/2/2015,2044,NOCAP,1,20150202_204400,
W68,2/2/2015,2/6/2015,7,RKH,2/2/2015,2044,PSFER,2,20150202_204400,
W35,2/2/2015,2/6/2015,1,JMH,2/2/2015,2044,NOCAP,1,20150202_204400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,2044,LISPH,3,20150202_204400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,2044,PSCRU,1,20150202_204400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,2044,PSNIG,2,20150202_204400,
W46,2/2/2015,2/6/2015,2,JMH,2/2/2015,2044,PSORN,2,20150202_204400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,2044,LISPH,3,20150202_204400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,2044,PSCRU,2,20150202_204400,
W50,2/2/2015,2/6/2015,3,JMH,2/2/2015,2044,PSNIG,3,20150202_204400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,2044,LISPH,2,20150202_204400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,2044,PSCRU,3,20150202_204400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,2044,PSNIG,3,20150202_204400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,2044,PSCRU,3,20150202_204400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,2044,PSFER,2,20150202_204400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2044,LISPH,3,20150202_204400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2044,PSCRU,2,20150202_204400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2044,PSFER,1,20150202_204400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2044,PSNIG,1,20150202_204400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,2044,PSCRU,3,20150202_204400,
W58,2/2/2015,2/6/2015,9,JMH,2/2/2015,2044,PSNIG,2,20150202_204400,
W32,2/2/2015,2/6/2015,4,RKH,2/2/2015,2044,NOCAP,1,20150202_204400,
W51,2/2/2015,2/6/2015,5,JMH,2/2/2015,2144,PSNIG,3,20150202_214400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,2144,PSCRU,2,20150202_214400,
W52,2/2/2015,2/6/2015,10,RKH,2/2/2015,2144,PSFER,2,20150202_214400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2144,LISPH,1,20150202_214400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2144,PSCRU,2,20150202_214400,
W55,2/2/2015,2/6/2015,8,JMH,2/2/2015,2144,PSNIG,2,20150202_214400,
