Site,Start Date,Stop Date,Logger,SD Card,Listener,Sample Date,Sample Time,Sample Date Time,Species,NAAMP,File ID,Notes,Error
W41,7/24/2014,7/28/2014,8,8A,RKH,7/28/2014,11,7/28/2014 0:11,ACGRY,2,20140728_001100,ANTER DISTANT?,N
W27,7/24/2014,7/28/2014,4,4A,MCD,7/28/2014,7,7/28/2014 0:07,NOCAP,1,20140728_000700,,N
W28,7/24/2014,7/28/2014,3,3A,MCD,7/28/2014,7,7/28/2014 0:07,ACGRY,2,20140728_000700,,N
W28,7/24/2014,7/28/2014,3,3A,MCD,7/28/2014,7,7/28/2014 0:07,LICAT,1,20140728_000700,,N
W29,7/24/2014,7/28/2014,2,2A,MCD,7/28/2014,7,7/28/2014 0:07,ACGRY,2,20140728_000700,SPLASHING SOUNDS,N
W36,7/24/2014,7/28/2014,5,5A,MCD,7/28/2014,7,7/28/2014 0:07,ACGRY,1,20140728_000700,,N
W37,7/24/2014,7/29/2014,1,1A,RKH,7/28/2014,7,7/28/2014 0:07,ACGRY,2,20140728_000700,RANID SQUEAK,N
W39,7/24/2014,7/28/2014,6,6A,MCD,7/28/2014,7,7/28/2014 0:07,ACGRY,2,20140728_000700,,N
W40,7/24/2014,7/28/2014,7,7A,MCD,7/28/2014,7,7/28/2014 0:07,ACGRY,2,20140728_000700,,N
W42,7/24/2014,7/28/2014,10,10A,MCD,7/28/2014,7,7/28/2014 0:07,ACGRY,2,20140728_000700,,N
W42,7/24/2014,7/28/2014,10,10A,MCD,7/28/2014,7,7/28/2014 0:07,LISPH,1,20140728_000700,,N
W43,7/24/2014,7/28/2014,9,9A,MCD,7/28/2014,7,7/28/2014 0:07,NOCAP,1,20140728_000700,,N
W41,7/24/2014,7/28/2014,8,8A,RKH,7/27/2014,2311,7/27/2014 23:11,ACGRY,2,20140727_231100,,N
W41,7/24/2014,7/28/2014,8,8A,RKH,7/27/2014,2311,7/27/2014 23:11,ANTER,1,20140727_231100,,N
W27,7/24/2014,7/28/2014,4,4A,MCD,7/27/2014,2307,7/27/2014 23:07,NOCAP,1,20140727_230700,,N
W28,7/24/2014,7/28/2014,3,3A,MCD,7/27/2014,2307,7/27/2014 23:07,ACGRY,3,20140727_230700,,N
W28,7/24/2014,7/28/2014,3,3A,MCD,7/27/2014,2307,7/27/2014 23:07,LICAT,1,20140727_230700,,N
W29,7/24/2014,7/28/2014,2,2A,MCD,7/27/2014,2307,7/27/2014 23:07,ACGRY,2,20140727_230700,,N
W36,7/24/2014,7/28/2014,5,5A,MCD,7/27/2014,2307,7/27/2014 23:07,ACGRY,2,20140727_230700,,N
W37,7/24/2014,7/29/2014,1,1A,RKH,7/27/2014,2307,7/27/2014 23:07,ACGRY,2,20140727_230700,,N
W39,7/24/2014,7/28/2014,6,6A,MCD,7/27/2014,2307,7/27/2014 23:07,ACGRY,2,20140727_230700,,N
W40,7/24/2014,7/28/2014,7,7A,MCD,7/27/2014,2307,7/27/2014 23:07,ACGRY,2,20140727_230700,,N
W42,7/24/2014,7/28/2014,10,10A,MCD,7/27/2014,2307,7/27/2014 23:07,ACGRY,2,20140727_230700,,N
