,logger,date_group,score,time_stamp,year,date
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_398/TEST_0+1_20161105_234300.wav,398,2016,135.51859950771254,220.0,2017,2016-11-05 23:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_398/TEST_0+1_20171113_173700.wav,398,2017,99.3172645794008,77.5,2017,2017-11-13 17:37:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_398/TEST_0+1_20180114_235300.wav,398,2018,82.10409477069629,231.5,2018,2018-01-14 23:53:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_398/TEST_0+1_20190115_205400.wav,398,2019,73.05323622982758,164.0,2019,2019-01-15 20:54:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2020/FLSHE_2020_398/TEST_0+1_20200224_203000.wav,398,2020,197.1662656487404,68.5,2020,2020-02-24 20:30:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2021/FLSHE_2021_398/TEST_0+1_20210208_181700.wav,398,2021,118.05163699418124,27.5,2021,2021-02-08 18:17:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_398/TEST_0+1_20220408_010100.wav,398,2022,177.07112894770373,145.0,2022,2022-04-08 01:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170213_212100.wav,400,2017,546.8743862014697,286.0,2017,2017-02-13 21:21:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180212_202000.wav,400,2018,216.1617547143707,158.0,2018,2018-02-12 20:20:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_400/TEST_0+1_20190303_223600.wav,400,2019,509.7823023452979,191.0,2019,2019-03-03 22:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2020/FLSHE_2020_400/TEST_0+1_20200210_211800.wav,400,2020,466.1420043917711,114.0,2020,2020-02-10 21:18:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2021/FLSHE_2021_400/TEST_0+1_20210303_223600.wav,400,2021,419.9992594506394,41.0,2021,2021-03-03 22:36:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220320_014800.wav,400,2022,326.03223126874053,128.5,2022,2022-03-20 01:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_401/TEST_0+1_20171119_023500.wav,401,2017,203.9274553937916,95.0,2017,2017-11-19 02:35:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_401/TEST_0+1_20170311_204200_deerstand.wav,401,,39.42371941623304,102.0,2017,
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180320_214900.wav,401,2018,184.82061781376413,218.0,2018,2018-03-20 21:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2019/FLSHE_2019_401/TEST_0+1_20190218_182500.wav,401,2019,135.15977796487218,64.0,2019,2019-02-18 18:25:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2020/FLSHE_2020_401/TEST_0+1_20200331_215700.wav,401,2020,236.2166464959149,57.5,2020,2020-03-31 21:57:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2021/FLSHE_2021_401/TEST_0+1_20210201_181000.wav,401,2021,238.38584567259088,292.0,2021,2021-02-01 18:10:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_401/TEST_0+1_20220326_185300.wav,401,2022,195.46618526233547,32.5,2022,2022-03-26 18:53:00
