file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_000100.wav,1059,2015,4a,2015-02-24 00:01:00,1.0,689.6835124910892,296.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_200200.wav,1060,2015,4a,2015-02-24 20:02:00,1.0,587.9045787666117,25.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_194500.wav,4602,2015,5a,2015-02-03 19:45:00,1.0,521.2315202570556,185.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_230100.wav,1061,2015,4a,2015-02-23 23:01:00,1.0,482.74486665350724,110.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150225_000200.wav,1062,2015,4a,2015-02-25 00:02:00,1.0,453.895368334199,254.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_194700.wav,4603,2015,5a,2015-02-05 19:47:00,0.0,432.596043510274,299.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150202_184400.wav,1414,2015,2a,2015-02-02 18:44:00,1.0,337.6240383704995,214.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_220100.wav,1063,2015,4a,2015-02-23 22:01:00,1.0,318.6543685861461,64.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_214400.wav,4604,2015,5a,2015-02-02 21:44:00,1.0,293.3875451042364,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_191000.wav,4605,2015,5a,2015-03-06 19:10:00,1.0,275.33068924985,226.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_214700.wav,4606,2015,5a,2015-02-05 21:47:00,0.0,270.10174802899354,10.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/10a/20150321_221900.wav,2478,2015,10a,2015-03-21 22:19:00,0.0,264.76728619291754,274.5
