file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_230100.wav,1061,2015,4a,2015-02-23 23:01:00,1.0,685.6332152497404,87.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_191000.wav,4610,2015,5a,2015-03-07 19:10:00,1.0,654.8540767212387,274.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_220100.wav,1063,2015,4a,2015-02-23 22:01:00,1.0,557.3523829274512,173.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_191000.wav,4605,2015,5a,2015-03-06 19:10:00,1.0,550.0721291321806,295.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_200200.wav,1060,2015,4a,2015-02-24 20:02:00,1.0,502.96406720586725,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_194500.wav,4602,2015,5a,2015-02-03 19:45:00,1.0,478.98262041559065,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_194700.wav,4603,2015,5a,2015-02-05 19:47:00,0.0,468.3967432539294,66.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_000100.wav,1059,2015,4a,2015-02-24 00:01:00,1.0,465.3316722493574,60.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_214500.wav,4607,2015,5a,2015-02-03 21:45:00,1.0,462.11932201614394,280.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_214700.wav,4606,2015,5a,2015-02-05 21:47:00,0.0,418.22515542324237,148.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_184700.wav,4615,2015,5a,2015-02-05 18:47:00,1.0,358.88733248561914,91.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_204500.wav,4619,2015,5a,2015-02-03 20:45:00,1.0,352.2988110084432,277.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_190200.wav,1224,2015,4a,2015-02-24 19:02:00,1.0,345.86399587318897,70.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150225_000200.wav,1062,2015,4a,2015-02-25 00:02:00,1.0,338.50238705726804,279.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_204700.wav,4608,2015,5a,2015-02-05 20:47:00,0.0,337.06055242611416,85.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_210100.wav,1067,2015,4a,2015-02-23 21:01:00,1.0,335.36509205296045,279.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_201000.wav,4742,2015,5a,2015-03-07 20:10:00,1.0,323.2731409841579,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150204_204600.wav,4609,2015,5a,2015-02-04 20:46:00,1.0,292.5068667312019,257.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_195700.wav,1314,2015,4a,2015-02-17 19:57:00,0.0,289.8085731673835,245.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_220200.wav,1065,2015,4a,2015-02-24 22:02:00,1.0,285.1643639310228,261.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_234400.wav,4611,2015,5a,2015-02-02 23:44:00,1.0,275.66632642125217,114.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150305_220900.wav,4617,2015,5a,2015-03-05 22:09:00,1.0,267.4582425375378,280.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150203_184500.wav,2443,2015,9a,2015-02-03 18:45:00,0.0,261.8772519280137,238.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_214400.wav,4604,2015,5a,2015-02-02 21:44:00,1.0,254.83570182799926,169.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_211000.wav,4618,2015,5a,2015-03-07 21:10:00,0.0,253.28982098424123,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_205700.wav,1191,2015,4a,2015-02-17 20:57:00,0.0,249.49860513208563,271.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150308_211100.wav,4915,2015,5a,2015-03-08 21:11:00,0.0,241.53942874738073,242.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_190100.wav,1066,2015,4a,2015-02-23 19:01:00,1.0,236.3561289072076,103.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_201000.wav,4621,2015,5a,2015-03-06 20:10:00,0.0,234.56588627637998,250.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150203_194500.wav,2390,2015,9a,2015-02-03 19:45:00,0.0,219.37326891950897,49.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_194700.wav,2436,2015,9a,2015-02-05 19:47:00,0.0,216.7844078947548,248.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150204_194600.wav,4626,2015,5a,2015-02-04 19:46:00,0.0,211.47255875973954,280.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150205_194700.wav,1435,2015,2a,2015-02-05 19:47:00,1.0,202.2503359782147,101.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_231000.wav,4625,2015,5a,2015-03-07 23:10:00,0.0,198.85292234423625,263.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150314_001400.wav,356,2015,7a,2015-03-14 00:14:00,1.0,185.6923429044288,269.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_230200.wav,1064,2015,4a,2015-02-24 23:02:00,1.0,172.81054822111372,188.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_185700.wav,1329,2015,4a,2015-02-17 18:57:00,0.0,169.2311377014472,200.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150204_004500.wav,4656,2015,5a,2015-02-04 00:45:00,0.0,168.0129307259162,58.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150320_231900.wav,1630,2015,2a,2015-03-20 23:19:00,0.0,163.9948405766354,285.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150202_224400.wav,2440,2015,9a,2015-02-02 22:44:00,0.0,161.76654945919216,291.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150203_184500.wav,1416,2015,2a,2015-02-03 18:45:00,1.0,161.46527762392844,213.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150202_234400.wav,2371,2015,9a,2015-02-02 23:44:00,0.0,155.58523771259695,75.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/2a/20150202_184400.wav,1414,2015,2a,2015-02-02 18:44:00,1.0,154.17853182933518,210.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_204700.wav,2455,2015,9a,2015-02-05 20:47:00,0.0,152.82719442933708,50.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_224700.wav,2445,2015,9a,2015-02-05 22:47:00,0.0,151.38664530313466,213.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_224400.wav,4630,2015,5a,2015-02-02 22:44:00,0.0,150.23937459307493,232.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/1a/20150223_220100.wav,4963,2015,1a,2015-02-23 22:01:00,0.0,145.10372058687048,71.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/7a/20150314_231500.wav,355,2015,7a,2015-03-14 23:15:00,1.0,142.5688229558662,286.0
