file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_230100.wav,1061,2015,4a,2015-02-23 23:01:00,1.0,451.27967548856805,87.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_191000.wav,4610,2015,5a,2015-03-07 19:10:00,1.0,441.8516233957841,274.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_220100.wav,1063,2015,4a,2015-02-23 22:01:00,1.0,309.218257819346,163.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_195700.wav,1314,2015,4a,2015-02-17 19:57:00,0.0,298.4085182542086,242.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_200200.wav,1060,2015,4a,2015-02-24 20:02:00,1.0,289.58230359222034,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_194500.wav,4602,2015,5a,2015-02-03 19:45:00,1.0,281.6315360184974,186.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150203_194500.wav,2390,2015,9a,2015-02-03 19:45:00,0.0,276.77631025685173,156.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_191000.wav,4605,2015,5a,2015-03-06 19:10:00,1.0,270.19356078167374,156.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_000100.wav,1059,2015,4a,2015-02-24 00:01:00,1.0,257.2509930707995,60.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150203_184500.wav,2443,2015,9a,2015-02-03 18:45:00,0.0,250.35442683875058,238.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_194700.wav,4603,2015,5a,2015-02-05 19:47:00,0.0,245.67971209800214,66.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_214500.wav,4607,2015,5a,2015-02-03 21:45:00,1.0,230.67122075005904,280.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_185700.wav,1329,2015,4a,2015-02-17 18:57:00,0.0,223.05515256139694,164.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150225_000200.wav,1062,2015,4a,2015-02-25 00:02:00,1.0,219.82866580685157,279.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150217_205700.wav,1191,2015,4a,2015-02-17 20:57:00,0.0,218.32698658822943,271.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_194700.wav,2436,2015,9a,2015-02-05 19:47:00,0.0,214.59715624455828,241.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150223_210100.wav,1067,2015,4a,2015-02-23 21:01:00,1.0,212.48820676161665,279.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_214700.wav,4606,2015,5a,2015-02-05 21:47:00,0.0,198.4125312253398,148.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150203_204500.wav,4619,2015,5a,2015-02-03 20:45:00,1.0,192.12252540471744,295.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_204700.wav,4608,2015,5a,2015-02-05 20:47:00,0.0,184.66397941171587,85.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_204700.wav,2455,2015,9a,2015-02-05 20:47:00,0.0,182.5721972387649,74.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_201000.wav,4742,2015,5a,2015-03-07 20:10:00,1.0,182.0420725287258,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150202_224400.wav,2440,2015,9a,2015-02-02 22:44:00,0.0,181.99569125060287,291.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/4a/20150224_190200.wav,1224,2015,4a,2015-02-24 19:02:00,1.0,179.73018840159176,70.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150202_234400.wav,2371,2015,9a,2015-02-02 23:44:00,0.0,168.72855385243759,104.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150204_004500.wav,4656,2015,5a,2015-02-04 00:45:00,0.0,165.152587071395,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_224700.wav,2445,2015,9a,2015-02-05 22:47:00,0.0,162.34547893843794,174.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150205_184700.wav,4615,2015,5a,2015-02-05 18:47:00,1.0,152.74465388063211,91.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150306_201000.wav,4621,2015,5a,2015-03-06 20:10:00,0.0,150.30257287810042,250.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_234400.wav,4611,2015,5a,2015-02-02 23:44:00,1.0,148.42282420732232,114.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150202_214400.wav,2450,2015,9a,2015-02-02 21:44:00,0.0,145.75468262915405,235.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_221900.wav,306,2015,8a,2015-03-20 22:19:00,0.0,144.05426266377611,238.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150307_211000.wav,4618,2015,5a,2015-03-07 21:10:00,0.0,140.51720406629894,55.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/5a/20150202_214400.wav,4604,2015,5a,2015-02-02 21:44:00,1.0,138.2102926873824,169.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150319_231900.wav,338,2015,8a,2015-03-19 23:19:00,0.0,137.62267501541118,126.0
