,file_path,year,pond,date,Lcapito
0,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_194400.wav,2015,8a,2015-02-02 19:44:00,0.0
1,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150316_001600.wav,2015,8a,2015-03-16 00:16:00,0.0
2,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_001500.wav,2015,8a,2015-03-15 00:15:00,0.0
3,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_231500.wav,2015,8a,2015-03-14 23:15:00,0.0
4,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150319_221900.wav,2015,8a,2015-03-19 22:19:00,0.0
6,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_214500.wav,2015,8a,2015-02-03 21:45:00,0.0
7,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150219_005700.wav,2015,8a,2015-02-19 00:57:00,0.0
8,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_204400.wav,2015,8a,2015-02-02 20:44:00,0.0
9,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_235700.wav,2015,8a,2015-02-18 23:57:00,0.0
10,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_224600.wav,2015,8a,2015-04-30 22:46:00,0.0
12,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_204800.wav,2015,8a,2015-05-02 20:48:00,0.0
13,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_214400.wav,2015,8a,2015-02-02 21:44:00,0.0
14,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_204600.wav,2015,8a,2015-04-30 20:46:00,0.0
15,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_003700.wav,2015,8a,2015-04-17 00:37:00,0.0
16,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_184400.wav,2015,8a,2015-02-02 18:44:00,0.0
17,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_203200.wav,2015,8a,2015-04-09 20:32:00,0.0
18,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_204500.wav,2015,8a,2015-02-03 20:45:00,0.0
19,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_231900.wav,2015,8a,2015-03-20 23:19:00,0.0
20,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_225700.wav,2015,8a,2015-02-18 22:57:00,0.0
21,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_195600.wav,2015,8a,2015-02-16 19:56:00,0.0
22,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_214800.wav,2015,8a,2015-05-02 21:48:00,0.0
23,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_194500.wav,2015,8a,2015-02-03 19:45:00,0.0
24,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_210300.wav,2015,8a,2015-02-25 21:03:00,0.0
25,/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150305_190900.wav,2015,8a,2015-03-05 19:09:00,0.0
