file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1,score2,time_stamp2
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_194400.wav,0,2015,8a,2015-02-02 19:44:00,0.0,63.46185905906043,212.0,75.04990611463901,212.0,61.43934727196485,212.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150316_001600.wav,1,2015,8a,2015-03-16 00:16:00,0.0,102.37376644196222,129.0,78.96751242398055,128.0,88.8895576992984,129.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_001500.wav,2,2015,8a,2015-03-15 00:15:00,0.0,104.60918911097754,261.0,123.5205138427671,86.5,112.45161838843579,86.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_231500.wav,3,2015,8a,2015-03-14 23:15:00,0.0,87.33474515542116,157.0,87.86883282926632,197.0,91.60848372955891,157.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150319_221900.wav,4,2015,8a,2015-03-19 22:19:00,0.0,51.94266499820953,297.5,168.0036433457691,297.5,82.97258269211483,297.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_214500.wav,6,2015,8a,2015-02-03 21:45:00,0.0,88.08461786565331,5.0,89.85076380261356,5.0,82.69298081131441,5.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150219_005700.wav,7,2015,8a,2015-02-19 00:57:00,0.0,46.44599266642185,2.5,43.8603638838882,2.5,45.12597276485391,2.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_204400.wav,8,2015,8a,2015-02-02 20:44:00,0.0,58.33869214922251,41.5,80.43470575124908,263.5,59.27524524789509,263.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_235700.wav,9,2015,8a,2015-02-18 23:57:00,0.0,55.890038244093404,76.5,56.86902920655941,76.5,50.76884995637378,76.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_224600.wav,10,2015,8a,2015-04-30 22:46:00,0.0,60.608019329128794,58.0,57.05083106686199,84.0,52.6528838588287,84.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_204800.wav,12,2015,8a,2015-05-02 20:48:00,0.0,49.73825397139578,165.5,48.88893870961336,165.5,45.73758554560945,165.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_214400.wav,13,2015,8a,2015-02-02 21:44:00,0.0,57.79567897674983,74.0,80.68429047888992,35.5,49.93740017425761,59.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_204600.wav,14,2015,8a,2015-04-30 20:46:00,0.0,45.93479750800413,5.0,56.33176370836319,170.5,39.96278286525975,170.5
