file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_194400.wav,0,2015,8a,2015-02-02 19:44:00,0.0,29.46853600702593,212.0,42.99215167205582,35.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150316_001600.wav,1,2015,8a,2015-03-16 00:16:00,0.0,54.529108411109455,134.0,78.22627265278223,34.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_001500.wav,2,2015,8a,2015-03-15 00:15:00,0.0,46.61342022837807,161.0,105.11808341194904,161.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_231500.wav,3,2015,8a,2015-03-14 23:15:00,0.0,60.75334176809447,259.0,126.8462555064546,211.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150319_221900.wav,4,2015,8a,2015-03-19 22:19:00,0.0,83.29993821484717,274.5,133.22101249816296,297.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_214500.wav,6,2015,8a,2015-02-03 21:45:00,0.0,33.78907377500367,134.5,51.12397567486493,190.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150219_005700.wav,7,2015,8a,2015-02-19 00:57:00,0.0,19.630507303148114,19.0,36.40484062988388,176.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_204400.wav,8,2015,8a,2015-02-02 20:44:00,0.0,27.48483673399268,263.5,79.58444729614308,263.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_235700.wav,9,2015,8a,2015-02-18 23:57:00,0.0,19.82006552066373,218.0,43.358845235536116,95.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_224600.wav,10,2015,8a,2015-04-30 22:46:00,0.0,22.93249129744638,38.0,45.28238898453875,58.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_204800.wav,12,2015,8a,2015-05-02 20:48:00,0.0,22.560878809465738,79.5,38.573776195248634,278.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_214400.wav,13,2015,8a,2015-02-02 21:44:00,0.0,57.62487332814679,213.5,64.1151327909912,213.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_204600.wav,14,2015,8a,2015-04-30 20:46:00,0.0,21.811411520991072,136.5,34.883747276400065,268.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_003700.wav,15,2015,8a,2015-04-17 00:37:00,0.0,43.86553435926718,80.0,110.43699789481954,80.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_184400.wav,16,2015,8a,2015-02-02 18:44:00,0.0,33.41139140590385,55.0,67.56407278248842,55.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_203200.wav,17,2015,8a,2015-04-09 20:32:00,0.0,21.561877865759676,171.0,41.202339629111904,184.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_204500.wav,18,2015,8a,2015-02-03 20:45:00,0.0,29.678378590714903,9.0,60.5035809516505,100.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_231900.wav,19,2015,8a,2015-03-20 23:19:00,0.0,53.14553822316092,151.0,108.76952204160298,116.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_225700.wav,20,2015,8a,2015-02-18 22:57:00,0.0,19.524224942304077,23.0,37.410238849853165,136.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_195600.wav,21,2015,8a,2015-02-16 19:56:00,0.0,22.264181556616446,162.5,42.770682126609,207.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_214800.wav,22,2015,8a,2015-05-02 21:48:00,0.0,19.936942570304,270.0,37.18801863778704,76.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_194500.wav,23,2015,8a,2015-02-03 19:45:00,0.0,36.266671675665435,25.0,61.67064020783088,271.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150225_210300.wav,24,2015,8a,2015-02-25 21:03:00,0.0,32.482295829269994,98.5,47.8058081614633,98.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150305_190900.wav,25,2015,8a,2015-03-05 19:09:00,0.0,22.516977628787494,97.5,43.10970144508189,216.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_225600.wav,26,2015,8a,2015-02-16 22:56:00,0.0,22.208862959613008,250.0,39.71993865036191,268.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_223200.wav,27,2015,8a,2015-04-09 22:32:00,0.0,20.418273973511557,60.0,34.81311802958697,60.0
