,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180320_194900.wav,229.55973735061107,2018,402,97.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180212_202000.wav,216.1617547143707,2018,400,158.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180216_232400.wav,208.98986416259052,2018,400,134.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180320_224900.wav,192.4117766558929,2018,402,32.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180209_211700.wav,187.62735234265284,2018,400,189.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180320_214900.wav,184.82061781376413,2018,401,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180416_000700.wav,177.81917291196626,2018,402,245.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180422_211200.wav,173.62704047262693,2018,401,76.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180415_190700.wav,173.53300235359924,2018,402,92.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180416_020700.wav,171.99693399190298,2018,401,98.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180416_020700.wav,166.3589766785223,2018,402,102.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180211_191900.wav,160.01591048699873,2018,400,205.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180312_184300.wav,157.86410120527725,2018,401,150.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180112_195100.wav,153.40708540299215,2018,402,225.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180321_004900.wav,149.1021044354543,2018,402,177.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_399/TEST_0+1_20180120_185900.wav,144.69748830961817,2018,399,297.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180415_200700.wav,143.20185444915887,2018,401,102.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180112_185100.wav,139.58379928730645,2018,402,142.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180422_201200.wav,136.8166702820542,2018,402,101.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180325_195200.wav,132.53324172292847,2018,401,212.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180215_192300.wav,129.6029740359526,2018,400,217.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180210_001700.wav,128.8469673880972,2018,400,203.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180422_221200.wav,127.17135838101777,2018,401,106.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_403/TEST_20180416_020700.wav,126.2384494010838,2018,403,47.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180108_184800.wav,123.40765824220541,2018,401,214.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180320_234900.wav,121.42237094257442,2018,402,186.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20180422_201200.wav,119.65128893082596,2018,401,169.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_401/TEST_0+1_20171225_013700.wav,118.57309995076956,2018,401,138.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_402/TEST_0+1_20180320_184900.wav,117.17615093797139,2018,402,91.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_403/TEST_20180416_000700.wav,115.72407627230497,2018,403,285.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_399/TEST_0+1_20180102_014200.wav,114.67434321918383,2018,399,233.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180320_204900.wav,113.9538982228968,2018,400,14.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_214300.wav,113.78487060964365,2018,400,1.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180110_185000.wav,109.88628835976344,2018,400,219.5
