,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220224_223000.wav,381.3116100509327,2022,399,5.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220223_203000.wav,366.9058461182541,2022,399,168.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220224_023000.wav,354.55199922007455,2022,399,20.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220224_013000.wav,332.53764416149323,2022,399,265.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220320_014800.wav,326.03223126874053,2022,400,128.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220223_213000.wav,318.19350493484194,2022,399,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220319_234800.wav,316.2811950475532,2022,400,81.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220319_204800.wav,312.54010561726784,2022,400,153.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220408_010100.wav,310.21843715174714,2022,400,39.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220324_025100.wav,304.01318527299384,2022,400,1.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220227_233300.wav,303.52984394809346,2022,400,256.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220407_200100.wav,302.9177113191186,2022,400,128.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220317_204600.wav,297.8009862978442,2022,400,57.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220224_233000.wav,293.3073486839826,2022,399,51.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220226_003100.wav,287.3162651715447,2022,400,185.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220324_015100.wav,286.1659803825815,2022,400,200.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220308_013900.wav,283.5740564987604,2022,400,167.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220308_023900.wav,279.76957378764274,2022,400,258.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220224_013000.wav,275.011021923065,2022,400,276.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220227_193300.wav,273.41578176254194,2022,400,78.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220226_203200.wav,271.04722177641156,2022,400,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220227_013200.wav,269.3623750541539,2022,400,162.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220408_000100.wav,266.1334582961494,2022,400,54.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220323_235100.wav,261.0503798484247,2022,400,238.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220325_225200.wav,259.5216880893842,2022,400,215.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_399/TEST_0+1_20220223_233000.wav,259.3351659746979,2022,399,189.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220320_024800.wav,256.66098493875114,2022,400,262.5
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2022/FLSHE_2022_400/TEST_0+1_20220324_005100.wav,249.87164806136445,2022,400,292.0
