,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140310_191300.wav,24.943110055507663,2014,7a,218.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140310_201300.wav,41.33018446378852,2014,7a,192.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140310_211300.wav,26.99225486695886,2014,7a,12.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140310_221300.wav,21.64659442709493,2014,7a,295.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140310_231300.wav,29.69327938593874,2014,7a,261.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140311_001300.wav,28.28665662039304,2014,7a,135.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140311_191300.wav,32.77203357790553,2014,7a,67.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140311_201300.wav,52.115722591623324,2014,7a,149.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140311_211300.wav,61.135488540159656,2014,7a,252.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140311_221300.wav,35.41271081186797,2014,7a,237.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140311_231300.wav,27.076265911232166,2014,7a,1.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140312_001300.wav,22.279386448048385,2014,7a,21.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140312_191400.wav,34.579665808150715,2014,7a,153.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140312_201400.wav,46.75460969210798,2014,7a,93.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140312_211400.wav,52.57270373023497,2014,7a,111.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140312_221400.wav,48.06791827469393,2014,7a,0.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140312_231400.wav,44.28292368823185,2014,7a,171.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140313_001400.wav,37.47608057789961,2014,7a,145.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/7a/3-10-14/20140313_191500.wav,31.24771575296974,2014,7a,180.5
