,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140317_211700.wav,867.6283704340119,2014,10a,46.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140318_211800.wav,563.557747092028,2014,10a,289.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140318_201800.wav,549.6320726657785,2014,10a,203.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140317_201700.wav,503.9625703666013,2014,10a,253.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140318_231800.wav,421.456740444077,2014,10a,3.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140324_222200.wav,387.2512866101615,2014,10a,272.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140319_001800.wav,337.5492088183351,2014,10a,246.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140325_002200.wav,327.80583314466026,2014,10a,242.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140318_221800.wav,327.31889619126616,2014,10a,288.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140318_191800.wav,302.74982909993037,2014,10a,254.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140319_221900.wav,292.07070719324037,2014,10a,170.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140319_191900.wav,270.60605203546464,2014,10a,238.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140324_232200.wav,236.50394193832147,2014,10a,23.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140319_231900.wav,233.6945514151509,2014,10a,60.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140319_201900.wav,222.89151060627958,2014,10a,224.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-17-14/20140320_001900.wav,187.71025065906395,2014,10a,36.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140421_224000.wav,171.68915032492706,2014,9a,124.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-21-14/20140425_004200.wav,157.4251128546961,2014,8a,234.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140503_214800.wav,155.56387908988097,2014,8a,203.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-15-14/20140517_235800.wav,152.16755489292547,2014,8a,174.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-8-14/20140512_005400.wav,143.9401949895405,2014,8a,40.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/3-24-14/20140326_192300.wav,137.08265531896382,2014,8a,239.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140324_212200.wav,134.0335556911734,2014,10a,252.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/10a/3-24-14/20140327_232400.wav,133.93237200751875,2014,10a,26.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/4-21-14/20140424_234200.wav,133.72754751504604,2014,8a,160.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-15-14/20140517_215800.wav,132.00212435409523,2014,8a,296.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140407_213100.wav,130.28722875546882,2014,9a,151.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/3-24-14/20140324_232200.wav,129.1899665213244,2014,8a,58.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-8-14/20140510_005300.wav,128.31547112144995,2014,8a,228.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140408_203200.wav,127.64437933626033,2014,9a,181.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140410_213300.wav,124.3959246313179,2014,9a,228.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140504_234900.wav,124.32036231257273,2014,8a,86.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140424_234200.wav,119.6974554284302,2014,9a,218.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/8a/5-2-14/20140503_224800.wav,118.89852455376362,2014,8a,146.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-21-14/20140423_004100.wav,118.21733487218096,2014,9a,185.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/9a/4-7-14/20140408_213200.wav,116.38370484424843,2014,9a,69.0
