,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_185600.wav,56.18847927646524,2015,1a,143.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_195600.wav,58.64882505328302,2015,1a,196.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_205600.wav,57.94734150709299,2015,1a,282.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_215600.wav,57.539106753646,2015,1a,21.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_225600.wav,69.9837172625273,2015,1a,239.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150216_235600.wav,63.904258914730306,2015,1a,248.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_005600.wav,47.77266660295066,2015,1a,200.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_185700.wav,28.129367859356783,2015,1a,281.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_195700.wav,27.121167347350408,2015,1a,284.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_205700.wav,84.42917400619973,2015,1a,289.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_215700.wav,39.607874578953,2015,1a,277.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_225700.wav,33.68997933729366,2015,1a,255.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150217_235700.wav,29.063564383729656,2015,1a,240.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_005700.wav,22.40359604665169,2015,1a,176.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_185700.wav,39.26469999608225,2015,1a,267.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_195700.wav,59.130569908261684,2015,1a,24.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_205700.wav,76.14256794161335,2015,1a,212.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_215700.wav,63.28617071258709,2015,1a,235.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_225700.wav,63.249766114049855,2015,1a,148.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150218_235700.wav,65.49125757482169,2015,1a,0.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150219_005700.wav,61.88953049665814,2015,1a,125.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150219_185800.wav,11.226607938786065,2015,1a,110.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150219_195800.wav,7.777783201103004,2015,1a,32.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-16-15/20150219_205800.wav,9.647293966027537,2015,1a,231.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150202_184400.wav,55.23400531165758,2015,1a,59.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150202_194400.wav,32.77094097988486,2015,1a,42.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150202_204400.wav,37.318245319679974,2015,1a,20.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150202_214400.wav,40.78643515716597,2015,1a,93.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150202_224400.wav,30.188921796599153,2015,1a,285.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150202_234400.wav,27.735861571030732,2015,1a,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_004400.wav,45.450399580019074,2015,1a,235.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_184500.wav,51.790948861085084,2015,1a,71.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_194500.wav,13.634722283165841,2015,1a,111.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_204500.wav,29.70227808190828,2015,1a,298.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_214500.wav,37.23839930100538,2015,1a,175.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_224500.wav,34.13044819075458,2015,1a,201.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150203_234500.wav,9.005839925022984,2015,1a,112.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150204_004500.wav,37.561058462306676,2015,1a,265.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/1a/2-2-15/20150204_184600.wav,24.375739448155155,2015,1a,222.5
