,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150224_200200.wav,756.312597824141,2015,4a,190.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150223_230100.wav,726.3040249394295,2015,4a,72.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150224_000100.wav,640.1593820855411,2015,4a,60.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_194500.wav,576.513906948298,2015,5a,195.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150223_220100.wav,544.0662317055593,2015,4a,18.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150205_194700.wav,528.3315258813614,2015,5a,252.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150306_191000.wav,527.5033219437574,2015,5a,81.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150225_000200.wav,494.05815261832316,2015,4a,67.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150307_191000.wav,430.5827094657026,2015,5a,38.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150205_214700.wav,415.3615072863666,2015,5a,131.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150205_204700.wav,390.88267463368044,2015,5a,207.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150305_220900.wav,365.9171121526909,2015,5a,280.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150202_214400.wav,355.55814040438617,2015,5a,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150223_210100.wav,354.85741339434594,2015,4a,279.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150205_184700.wav,343.5711525827441,2015,5a,91.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150224_220200.wav,297.4265216287609,2015,4a,278.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_214500.wav,257.34918097223647,2015,5a,280.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150307_211000.wav,251.13808754910445,2015,5a,25.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150224_190200.wav,240.03467891076485,2015,4a,70.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150307_201000.wav,232.2919325428978,2015,5a,187.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150202_224400.wav,215.9468305850852,2015,5a,232.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150204_204600.wav,213.71964387726092,2015,5a,10.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150202_184400.wav,205.7576252890869,2015,2a,226.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/4a/2-23-15/20150223_190100.wav,196.78361065883007,2015,4a,259.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150306_201000.wav,173.49643435520872,2015,5a,237.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150203_184500.wav,173.0560015497373,2015,2a,213.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150306_231000.wav,166.00758181869227,2015,5a,157.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150205_184700.wav,164.52980335124218,2015,2a,7.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150306_000900.wav,155.58127035325273,2015,5a,103.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150202_234400.wav,154.20984501611503,2015,5a,166.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150204_194600.wav,151.0373943637702,2015,5a,60.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150305_210900.wav,144.2689702150086,2015,5a,134.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/2-2-15/20150203_204500.wav,143.47793226007295,2015,5a,178.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/2a/2-2-15/20150205_194700.wav,143.05616018684626,2015,2a,101.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/3a/6-11-15/20150611_221200.wav,139.22218011537345,2015,3a,82.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150305_230900.wav,133.51186341372352,2015,5a,82.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150305_200900.wav,126.29938442069913,2015,5a,47.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/5a/3-5-15/20150308_001000.wav,126.02770695841564,2015,5a,163.5
