,score,year,logger,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_231500.wav,260.0821722931506,2015,7a,286.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-19-15/20150321_221900.wav,255.43306354863424,2015,10a,274.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150313_231400.wav,189.7409660746328,2015,7a,101.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-19-15/20150322_232000.wav,156.86118137853563,2015,10a,13.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150319_221900.wav,147.24601961844735,2015,8a,297.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150313_221400.wav,144.24617428259666,2015,7a,285.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150314_001400.wav,137.76611621899193,2015,7a,269.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150306_231000.wav,127.31757094779873,2015,6a,207.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150224_000100.wav,113.96080030382524,2015,9a,153.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/2-2-15/20150205_214700.wav,103.21756362723514,2015,10a,291.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/7a/3-12-15/20150313_211400.wav,100.35213340526143,2015,7a,9.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_191000.wav,95.12030639284136,2015,10a,34.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_201000.wav,91.2768938089316,2015,10a,133.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/3-5-15/20150307_001000.wav,90.55740289305388,2015,6a,119.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150216_225600.wav,88.5871922400255,2015,6a,21.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/2-16-15/20150218_195700.wav,86.65021601844374,2015,6a,120.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150320_211900.wav,85.0668597176168,2015,8a,80.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-12-15/20150314_201500.wav,84.25360717057985,2015,8a,235.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/4-16-15/20150416_223700.wav,84.0862021990782,2015,6a,31.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150223_230100.wav,81.93409036709926,2015,9a,69.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150306_211000.wav,80.92539331185345,2015,10a,186.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/10a/3-5-15/20150308_221100.wav,80.01185746560296,2015,10a,134.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/3-5-15/20150305_200900.wav,79.76592409950247,2015,9a,271.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/9a/2-23-15/20150224_190200.wav,79.04759172884351,2015,9a,298.0
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/6a/6-4-15/20150607_211000.wav,78.86282832659214,2015,6a,295.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150322_232000.wav,78.14164924664115,2015,8a,230.5
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2015/8a/3-19-15/20150321_212000.wav,78.13300997036386,2015,8a,252.5
