,score,year,pond,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150511_005300.wav,116.94620460674675,2015,9a,97.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150225_200300.wav,82.21976402984534,2015,9a,107.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150225_190300.wav,80.95801404053537,2015,9a,149.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150224_000100.wav,80.87423059790997,2015,9a,227.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150509_005200.wav,72.82413541711429,2015,9a,230.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150223_220100.wav,72.52238032627906,2015,9a,61.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150504_214900.wav,65.82359891817539,2015,9a,49.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150225_210300.wav,65.26096317927767,2015,9a,12.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150403_202800.wav,64.68358652798088,2015,9a,139.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150205_004600.wav,61.81730087913778,2015,9a,95.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150224_220200.wav,61.32829873181375,2015,9a,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150224_200200.wav,60.59170435092287,2015,9a,107.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150320_201900.wav,60.39490550912252,2015,9a,70.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150223_230100.wav,59.61821858375475,2015,9a,195.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150502_214800.wav,58.25403353065212,2015,9a,105.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150502_204800.wav,58.15683541288994,2015,9a,14.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150226_210400.wav,56.33617780628578,2015,9a,178.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150403_192800.wav,56.121412399113936,2015,9a,289.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150421_003900.wav,56.034940931319206,2015,9a,253.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150629_231600.wav,55.976148148735234,2015,9a,277.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150615_221300.wav,55.38497678137316,2015,9a,29.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150223_210100.wav,55.16050088252573,2015,9a,288.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150417_213700.wav,55.15396533686268,2015,9a,95.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150319_191900.wav,54.89506847179374,2015,9a,122.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150509_235200.wav,54.507224913144015,2015,9a,52.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150626_211600.wav,54.08082264376626,2015,9a,83.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150430_204600.wav,52.89770222612717,2015,9a,258.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150321_202000.wav,52.737090763987084,2015,9a,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150224_210200.wav,52.29506810775416,2015,9a,239.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150403_222800.wav,52.24624234833078,2015,9a,157.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150518_205800.wav,50.784260827622525,2015,9a,44.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150514_215600.wav,50.07002757858209,2015,9a,92.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150411_003300.wav,50.069425971702685,2015,9a,255.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150504_224900.wav,49.95953436258641,2015,9a,287.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150417_223700.wav,49.679662218661626,2015,9a,233.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150410_193300.wav,49.26764136747588,2015,9a,232.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150430_224600.wav,49.13340209352194,2015,9a,35.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150516_235700.wav,48.69653958380065,2015,9a,276.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150306_000900.wav,48.58574719796644,2015,9a,32.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150406_003000.wav,48.04454049743659,2015,9a,272.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150204_194600.wav,48.0244899884971,2015,9a,13.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150612_221200.wav,47.974561505745775,2015,9a,242.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150515_005600.wav,47.808002251789055,2015,9a,170.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150630_001600.wav,47.70197952626969,2015,9a,207.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150226_000300.wav,47.26153772826078,2015,9a,53.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150204_004500.wav,47.23194745523951,2015,9a,288.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150224_230200.wav,47.22702002028755,2015,9a,0.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150420_003900.wav,46.09202422466106,2015,9a,83.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150322_202000.wav,45.59063590886067,2015,9a,227.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150405_233000.wav,45.532380463706026,2015,9a,260.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150504_204900.wav,45.17449414435301,2015,9a,94.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150517_205800.wav,44.69656453525267,2015,9a,199.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150204_214600.wav,43.90902270233392,2015,9a,22.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150320_221900.wav,43.76212673587645,2015,9a,22.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150320_001900.wav,43.6862231121627,2015,9a,293.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150416_223700.wav,43.68086210286364,2015,9a,277.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150510_005200.wav,43.35826128547801,2015,9a,83.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150204_204600.wav,43.30193926797291,2015,9a,169.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150320_231900.wav,43.07963179450524,2015,9a,98.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150416_213700.wav,42.14488931597019,2015,9a,28.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150403_212800.wav,41.501190577176914,2015,9a,136.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150225_000200.wav,41.26070713275315,2015,9a,101.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150321_192000.wav,41.144133675012526,2015,9a,25.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150514_225600.wav,40.97863023952354,2015,9a,42.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150225_220300.wav,40.606234906229076,2015,9a,250.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150517_005700.wav,40.327240115642155,2015,9a,136.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150227_000400.wav,40.326515919776945,2015,9a,70.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/9a/20150509_215200.wav,39.84106130792994,2015,9a,49.0
