file_path,Unnamed: 0,year,pond,date,Lcapito,score,time_stamp
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_194400.wav,0,2015,8a,2015-02-02 19:44:00,0.0,26.918855537139557,36.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150316_001600.wav,1,2015,8a,2015-03-16 00:16:00,0.0,51.84792060522949,129.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_001500.wav,2,2015,8a,2015-03-15 00:15:00,0.0,37.150442205552444,250.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_231500.wav,3,2015,8a,2015-03-14 23:15:00,0.0,29.190614465360554,193.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150319_221900.wav,4,2015,8a,2015-03-19 22:19:00,0.0,21.514336216730918,298.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_214500.wav,6,2015,8a,2015-02-03 21:45:00,0.0,35.83597393177611,156.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150219_005700.wav,7,2015,8a,2015-02-19 00:57:00,0.0,23.351609559695085,81.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_204400.wav,8,2015,8a,2015-02-02 20:44:00,0.0,32.588354273129966,61.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_235700.wav,9,2015,8a,2015-02-18 23:57:00,0.0,15.863697541124989,81.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_224600.wav,10,2015,8a,2015-04-30 22:46:00,0.0,17.290484067977754,264.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_204800.wav,12,2015,8a,2015-05-02 20:48:00,0.0,24.373239648168916,174.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_214400.wav,13,2015,8a,2015-02-02 21:44:00,0.0,32.623119285505766,210.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_204600.wav,14,2015,8a,2015-04-30 20:46:00,0.0,18.521627034590463,208.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_003700.wav,15,2015,8a,2015-04-17 00:37:00,0.0,27.908245201331848,66.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_184400.wav,16,2015,8a,2015-02-02 18:44:00,0.0,27.245958641987627,78.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_203200.wav,17,2015,8a,2015-04-09 20:32:00,0.0,21.270391546951583,102.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_204500.wav,18,2015,8a,2015-02-03 20:45:00,0.0,36.08206537475501,78.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150320_231900.wav,19,2015,8a,2015-03-20 23:19:00,0.0,33.627547011896546,109.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_225700.wav,20,2015,8a,2015-02-18 22:57:00,0.0,19.35736322984917,36.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150216_195600.wav,21,2015,8a,2015-02-16 19:56:00,0.0,17.827661969009743,133.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_214800.wav,22,2015,8a,2015-05-02 21:48:00,0.0,19.0745449648828,145.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_194500.wav,23,2015,8a,2015-02-03 19:45:00,0.0,34.6473056413328,30.0
