file_path,Unnamed: 0,year,pond,date,Lcapito,score0,time_stamp0,score1,time_stamp1
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_194400.wav,0,2015,8a,2015-02-02 19:44:00,0.0,43.948479157189986,211.5,97.27360719945634,153.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150316_001600.wav,1,2015,8a,2015-03-16 00:16:00,0.0,70.6952194733347,128.0,79.11984238897449,33.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150315_001500.wav,2,2015,8a,2015-03-15 00:15:00,0.0,70.09588935050255,41.5,76.97111191654959,21.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150314_231500.wav,3,2015,8a,2015-03-14 23:15:00,0.0,64.02596031835428,0.5,76.24768493480975,248.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150319_221900.wav,4,2015,8a,2015-03-19 22:19:00,0.0,147.24601961844735,297.5,222.0296303873747,297.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150203_214500.wav,6,2015,8a,2015-02-03 21:45:00,0.0,42.444175846338446,228.0,124.15127064331341,175.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150219_005700.wav,7,2015,8a,2015-02-19 00:57:00,0.0,54.91671096284332,176.0,71.34895368715715,144.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_204400.wav,8,2015,8a,2015-02-02 20:44:00,0.0,40.46861466054284,41.5,140.80086636446032,61.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150218_235700.wav,9,2015,8a,2015-02-18 23:57:00,0.0,46.11634382072194,203.5,77.65207952778003,286.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_224600.wav,10,2015,8a,2015-04-30 22:46:00,0.0,63.823895302463754,61.0,86.91240670775655,79.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150502_204800.wav,12,2015,8a,2015-05-02 20:48:00,0.0,56.4950096825114,41.0,80.54873472357926,80.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_214400.wav,13,2015,8a,2015-02-02 21:44:00,0.0,43.51850663322416,223.5,100.40000550359906,234.5
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150430_204600.wav,14,2015,8a,2015-04-30 20:46:00,0.0,47.11234529785457,209.5,72.3012478525222,282.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150417_003700.wav,15,2015,8a,2015-04-17 00:37:00,0.0,39.06471125883527,189.5,102.9997855900689,192.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150202_184400.wav,16,2015,8a,2015-02-02 18:44:00,0.0,50.97133151297489,46.5,87.98015887796078,240.0
/Volumes/Expansion/Frog Call Project/Calling Data/Frog Calls/ichaway_2015/8a/20150409_203200.wav,17,2015,8a,2015-04-09 20:32:00,0.0,55.84762567291225,27.0,73.18464281431386,33.0
